Group_Initials,Section_No.,Distance_km,Sample_Site_No.,Total_No._Colonies_AB_Neg,Total_No._Colonies_AB_Pos,FABR,No._white_colonies_AB_Neg,No._Light_Yellow_colonies_AB_Neg,No._Dark_Yellow_colonies_AB_Neg,No._Pink_colonies_AB_Neg,
JC KL JS,12,11,2,57,34,0.5965,31,16,10,0,
JC KL JS,12,23,3,51,16,0.313725,30,4,15,2,
JC KL JS,12,35,4,24,11,0.45633,24,0,0,5,
JC KL JS,12,49,5,54,15,0.2777777778,32,9,14,0,
JC KL JS,12,69,6,110,18,0.1636,4,61,46,1,
JS GC SD AH,12,1,0,14,5,0.357,2,2,10,0,
JS GC SD AH,12,2,11,36,24,0.666,28,4,4,0,
JS GC SD AH,12,3,23,139,22,0.158,93,40,6,0,
JS GC SD AH,12,4,35,59,19,0.322,18,31,0,10,
JS GC SD AH,12,5,49,72,16,0.222,37,15,20,0,
JS GC SD AH,12,6,69,55,9,0.163,26,19,7,3,
SM QA AO,12,0,1,9,3,0.3333333333,3,6,0,0,
SM QA AO,12,11,2,42,32,1.3125,35,7,0,0,
SM QA AO,12,23,3,115,27,0.2347826087,30,59,25,1,
SM QA AO,12,35,4,111,21,0.1891891892,37,67,0,7,
SM QA AO,12,49,5,54,14,0.25925926,26,16,9,3,
SM QA AO,12,69,6,81,11,0.13580247,21,43,12,5,
BF DB EK,12,0,1,14,5,0.35714286,3,11,0,0,
BF DB EK,12,11,2,62,26,0.41935484,51,11,0,0,
BF DB EK,12,23,3,58,14,0.24137931,5,24,28,1,
BF DB EK,12,35,4,35,14,0.4,18,11,0,6,
BF DB EK,12,49,5,58,14,0.24137931,39,13,6,0,
BF DB EK,12,69,6,89,11,0.12359551,17,26,43,4,
CL JW KT CB,12,0,1,10,2,0.2,1,1,8,0,
CL JW KT CB,12,11,2,64,45,0.703125,37,7,11,0,
CL JW KT CB,12,23,3,47,15,0.31914894,7,11,28,1,
CL JW KT CB,12,35,4,34,14,0.41176471,4,28,0,2,
CL JW KT CB,12,49,5,42,14,0.33,29,9,4,0,
CL JW KT CB,12,69,6,54,8,0.14814815,28,10,16,0,
"WG, LD, MS",13,0,1,11,4,0.36,3,7,5,0,
"WG, LD, MS",13,11,2,54,28,0.52,31,6,4,0,
"WG, LD, MS",13,23,3,81,20,0.25,29,38,6,1,
"WG, LD, MS",13,35,4,37,18,0.49,25,12,0,7,
"WG, LD, MS",13,49,5,48,16,0.33,10,27,9,0,
"WG, LD, MS",13,69,6,69,12,0.17,8,13,23,3,
,,,,,,,,,,,
"LA,EL,CM,AH",13,0,1,16,4,0.3125,3,3,0,,
"LA,EL,CM,AH",13,11,2,49,30,0.6122,28,13,0,,
"LA,EL,CM,AH",13,23,3,73,20,0.274,12,36,3,,
"LA,EL,CM,AH",13,35,4,25,15,0.6,15,0,6,,
"LA,EL,CM,AH",13,49,5,59,15,0.2542,47,12,0,,
"LA,EL,CM,AH",13,69,6,112,10,0.0893,25,44,32,,
"EK, JM, OC, SN",13,0,1,15,3,0.2,1,8,6,0,
"EK, JM, OC, SN",13,11,2,35,29,1.21,0,26,9,0,
"EK, JM, OC, SN",13,23,3,61,18,0.29,1,18,24,18,
"EK, JM, OC, SN",13,35,4,31,15,0.48,19,15,0,12,
"EK, JM, OC, SN",13,49,5,51,14,0.27,0,32,19,0,
"EK, JM, OC, SN",13,69,6,54,13,0.24,10,23,11,0,
,,,,,,,,,,,
"AM, AP",19,0,1,14,6,0.43,3,8,3,0,
"AM, AP",19,11,2,39,29,0.744,1,28,10,0,
"AM, AP",19,23,3,23,17,0.74,2,7,14,0,
"AM, AP",19,35,4,42,16,0.381,22,12,0,8,
"AM, AP",19,49,5,35,17,0.49,0,20,15,0,
"AM, AP",19,69,6,55,8,0.145,19,25,15,1,
"KA, AT, AD",19,0,1,11,4,0.36,2,4,5,0,
"KA, AT, AD",19,11,2,76,46,0.61,0,37,29,0,
"KA, AT, AD",19,23,3,68,22,0.32,0,13,54,1,
"KA, AT, AD",19,35,4,36,14,0.39,20,8,0,8,
"KA, AT, AD",19,49,5,57,14,0.24,0,25,32,0,
"KA, AT, AD",19,69,6,31,8,0.26,2,8,17,4,
GO JL,19,0,1,12,2,1/6,1,8,0,0,
GO JL,19,11,2,43,29,0.67,32,10,1,0,
GO JL,19,23,3,43,12,0.279,2,17,23,1,
GO JL,19,35,4,10,9,0.9,10,0,0,0,
GO JL,19,49,5,18,9,0.5,9,16,2,0,
GO JL,19,69,6,20,3,0.15,3,11,9,0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"TH,JG,JE",19,0,1,23,11,0.4782608696,4,9,10,0,
"TH,JG,JE",19,11,2,95,27,0.2842105263,14,42,39,0,
"TH,JG,JE",19,23,3,43,18,0.4186046512,0,17,26,1,
"TH,JG,JE",19,35,4,27,19,0.7037037037,0,27,0,0,
"TH,JG,JE",19,49,5,52,14,0.2692307692,27,13,12,0,
"TH,JG,JE",19,69,6,80,13,0.1625,21,39,19,1,
,,,,,,,,,,,
"YO, KA, DO",14,0,1,13,3,0.230769231,1,4,8,0,
"YO, KA, DO",14,11,2,61,33,0.540983607,12,29,19,1,
"YO, KA, DO",14,23,3,78,19,0.243589744,9,26,41,2,
"YO, KA, DO",14,35,4,42,17,0.404761905,8,20,8,6,
"YO, KA, DO",14,49,5,66,16,0.242424242,0,39,21,6,
"YO, KA, DO",14,69,6,95,9,0.094736842,17,24,52,2,
,,,,,,,,,,,
"NM,CA,SC,JJ",14,0,1,13,3,0.2307692308,3,6,4,0,
"NM,CA,SC,JJ",14,11,2,58,33,0.5689655172,30,23,5,0,
"NM,CA,SC,JJ",14,23,3,57,19,0.3333333333,5,17,34,1,
"NM,CA,SC,JJ",14,35,4,40,16,0.4,38,2,0,0,
"NM,CA,SC,JJ",14,49,5,35,13,0.3714285714,21,11,3,0,
"NM,CA,SC,JJ",14,69,6,70,7,0.1,20,,47,0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"AF.JS,JT,RH",14,0,1,17,5,0.29,3,6,8,0,
"AF.JS,JT,RH",14,11,2,55,27,0.49,16,12,27,0,
"AF.JS,JT,RH",14,23,3,59,13,0.22,22,6,30,1,
"AF.JS,JT,RH",14,35,4,43,17,0.4,31,12,0,0,
"AF.JS,JT,RH",14,49,5,48,14,0.29,22,11,15,0,
"AF.JS,JT,RH",14,69,6,53,6,0.11,11,29,10,2,
,,,,,,,,,,,
AG (AK) EW,14,0,1,15,3,0.2,13,2,0,0,
AG (AK) EW,14,11,2,35,29,0.8285714286,23,8,4,0,
(AG) AK EW,14,23,3,87,20,0.2298850575,6,37,40,4,
(AG) AK EW,14,35,4,46,19,0.4130434783,43,0,0,3,
AG AK (EW),14,49,5,46,13,0.2826086957,17,23,5,0,
AG AK (EW),14,69,6,67,8,0.1194029851,28,21,16,2,
