StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q16,Q17,Q18,Q19,Q20
2/8/18 14:01,2/8/18 14:04,IP Address,128.138.65.66,100,175,TRUE,2/8/18 14:04,R_3gTvLy2jt18sM8C,,,,,40.01499939,-105.2705994,anonymous,EN,First year,No,0,0,105,Not at all uncertain,0.5,About once a week,2,No,Female,Between 5 and 10 hours,Once a week,daily,daily,Once a week,2-3 times a week,daily,Never,Once a week,Never,Never,Never,,18,Yes,Once a week,exploring the outdoors and traveling
2/8/18 14:03,2/8/18 14:04,IP Address,128.138.65.46,100,86,TRUE,2/8/18 14:04,R_shapxO7FqYAMxvr,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,No,0,0,20 miles,A little uncertain,2,More than once a day,2,Yes,Female,Between 20 and 40 hours,4-6 times a week,daily,daily,Never,Once a week,daily,Never,Once a week,Never,Never,Never,n/a,19,No,Never,Hiking!
2/8/18 14:00,2/8/18 14:05,IP Address,128.138.65.67,100,308,TRUE,2/8/18 14:05,R_3O3vuDqcgMSUL84,,,,,40.01499939,-105.2705994,anonymous,EN,First year,No,1,5-Apr,1804,Moderately uncertain,8,More than once a day,1,No,Female,I don't have a job (other than school),4-6 times a week,daily,daily,daily,daily,daily,Never,Never,Never,Never,,,19,No,2-3 times a week,My favorite thing to do is to hang out with my friends and family(including pets)
2/8/18 14:00,2/8/18 14:05,IP Address,128.138.65.101,100,327,TRUE,2/8/18 14:05,R_ONWkUPzeLtjSvhD,,,,,40.01499939,-105.2705994,anonymous,EN,Third year,No,1,4,1308.4,Very uncertain,2,About once a week,1,Yes,Male,Between 10 and 20 hours,Once a week,daily,daily,daily,daily,daily,Never,Never,Never,Never,Never,NA,21,No,4-6 times a week,Meet new people
2/8/18 14:04,2/8/18 14:06,IP Address,128.138.65.142,100,126,TRUE,2/8/18 14:06,R_2tKhGdgRo0UphqA,,,,,40.01499939,-105.2705994,anonymous,EN,Fourth year,No,2,2,0,Very uncertain,3,About once a week,2,Yes,Female,Between 10 and 20 hours,Once a week,,4-6 times a week,,,,,,,,,,23,Yes,Once a week,Meditate
2/8/18 13:58,2/8/18 14:08,IP Address,128.138.65.135,100,597,TRUE,2/8/18 14:08,R_3jTBbY1RtV1KiIn,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,No,0,0,9768,Moderately uncertain,about 4-5 hours,More than once a day,4,No,Female,I don't have a job (other than school),daily,2-3 times a week,daily,Never,Once a week,2-3 times a week,Once a week,Never,Never,Never,2-3 times a week,WeChat,21,Yes,Daily,Try various food
2/8/18 14:13,2/8/18 14:16,IP Address,73.95.137.1,100,163,TRUE,2/8/18 14:16,R_piOyPrr8xlWFby1,,,,,39.86630249,-105.0061035,anonymous,EN,Second year,No,7,0,2950,Moderately uncertain,4,About once a month,2,Yes,Female,Between 5 and 10 hours,2-3 times a week,daily,4-6 times a week,Never,daily,daily,Never,Never,Once a week,Never,Never,,21,No,4-6 times a week,cliff jump
2/8/18 15:30,2/8/18 15:33,IP Address,128.138.65.147,100,148,TRUE,2/8/18 15:33,R_6xmE6brz2NBKLbX,,,,,40.01499939,-105.2705994,anonymous,EN,Third year,No,0,0,28.9,Very uncertain,6,About once a week,2,No,Female,Between 20 and 40 hours,2-3 times a week,2-3 times a week,2-3 times a week,Never,Never,2-3 times a week,Never,Never,Never,Never,Never,,20,Yes,2-3 times a week,Read
2/8/18 15:31,2/8/18 15:34,IP Address,128.138.65.76,100,160,TRUE,2/8/18 15:34,R_31uWWMBxVdMgSLr,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,No,0,2,145,Very uncertain,5,About once a week,2,Yes,Female,Between 1 and 5 hours,4-6 times a week,daily,daily,Never,2-3 times a week,daily,4-6 times a week,Never,Never,Never,Never,,20,No,Never,Ski
2/8/18 15:32,2/8/18 15:35,IP Address,128.138.65.151,100,211,TRUE,2/8/18 15:35,R_7ZJv0BpL4IKc13z,,,,,40.01499939,-105.2705994,anonymous,EN,Third year,No,0,2,2.3,A little uncertain,2+ hours,About once a day,2,Yes,Female,Between 1 and 5 hours,daily,daily,daily,Never,4-6 times a week,daily,Never,daily,Never,Never,Never,,22,Yes,Once a month,Relax in a hot tub
2/8/18 15:31,2/8/18 17:21,IP Address,67.176.36.209,100,6624,TRUE,2/8/18 17:21,R_3EzONwb5mVojjtk,,,,,40.04960632,-105.2769012,anonymous,EN,Second year,No,7,1,2800 km,A little uncertain,3,About once a week,1,No,Female,I don't have a job (other than school),Never,daily,daily,Never,4-6 times a week,daily,Never,daily,Never,Never,Never,,20,No,Never,paint/draw
2/8/18 17:46,2/8/18 17:50,IP Address,73.203.118.175,100,221,TRUE,2/8/18 17:50,R_pKUEu4lDUXkecWR,,,,,39.97210693,-105.2492981,anonymous,EN,Second year,No,0,5,126,Moderately uncertain,1,About once a week,1,Yes,Male,I don't have a job (other than school),Once a week,daily,daily,Never,Once a week,daily,Never,Never,daily,Never,Never,,20,No,Never,Be outside
2/8/18 20:21,2/8/18 20:23,IP Address,128.138.65.175,100,161,TRUE,2/8/18 20:23,R_wT7p8MStGMwwLHX,,,,,40.01499939,-105.2705994,anonymous,EN,First year,No,0,0,74,Moderately uncertain,6,About once a week,1,No,Female,Between 5 and 10 hours,4-6 times a week,daily,daily,Never,daily,daily,Never,daily,Never,Never,Never,,19,No,4-6 times a week,Have deep conversations with people I love
2/8/18 20:27,2/8/18 20:30,IP Address,198.11.31.13,100,198,TRUE,2/8/18 20:30,R_2YFkMwav5k4Pn7M,,,,,40.01499939,-105.2705994,anonymous,EN,> fifth year,Yes,0,4,13.5,Not at all uncertain,3,About once a week,1,No,Male,I don't have a job (other than school),daily,Never,Never,Never,2-3 times a week,Never,Never,Once a week,Never,Never,Never,,30,No,Once a week,spend time with my wife and daughters
2/8/18 21:28,2/8/18 21:30,IP Address,67.161.204.132,100,122,TRUE,2/8/18 21:30,R_3lxoG4dFF7tFG8m,,,,,40.0480957,-105.384201,anonymous,EN,> fifth year,Yes,0,0,16,Extremely uncertain,3,About once a month,2,No,Female,I don't have a job (other than school),Once a week,4-6 times a week,Never,Once a week,4-6 times a week,daily,Once a week,Never,Never,Never,Never,,31,No,Once a month,game
2/8/18 22:46,2/8/18 22:51,IP Address,67.164.180.9,100,284,TRUE,2/8/18 22:51,R_3QGfaepaizkDGEi,,,,,39.18130493,-107.2260971,anonymous,EN,Second year,No,0,2,1450,A little uncertain,4,About once a day,2,Yes,Female,I don't have a job (other than school),daily,daily,daily,Never,Never,daily,Never,4-6 times a week,Never,Never,,,20,No,4-6 times a week,"Anything with my dog - running, walking, swimming, cuddling, playing, etc."
2/9/18 7:03,2/9/18 7:07,IP Address,24.9.114.76,100,251,TRUE,2/9/18 7:07,R_1laab5I6cjVpDlc,,,,,40.06570435,-105.013298,anonymous,EN,Fourth year,No,0,0,24km,Moderately uncertain,4,About once a day,1,Yes,Female,Between 20 and 40 hours,Never,daily,Once a week,Never,Never,daily,Never,daily,Never,Never,Never,,22,No,Once a week,Be outside in the summer
2/9/18 11:20,2/9/18 11:23,IP Address,128.138.65.129,100,201,TRUE,2/9/18 11:23,R_1n3M9zqv97TMlA8,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,No,0,1,80,A little uncertain,5,About once a week,1,No,Female,Between 5 and 10 hours,daily,daily,daily,Never,Once a week,daily,Never,Never,Never,Never,Never,,20,No,Never,Run
2/9/18 12:22,2/9/18 12:24,IP Address,128.138.211.145,100,134,TRUE,2/9/18 12:24,R_2aDBai1NIt31TaN,,,,,40.01499939,-105.2705994,anonymous,EN,First year,No,0.25,0.5,46.5,A little uncertain,3,About once a month,1,No,Male,Between 5 and 10 hours,Once a week,daily,Once a week,Never,4-6 times a week,daily,Never,Never,daily,Never,Never,,19,No,Never,electric guitar
2/9/18 14:48,2/9/18 14:57,IP Address,50.246.210.193,100,538,TRUE,2/9/18 14:57,R_2wBHpejUHZTaZxK,,,,,39.7427063,-105.1186981,anonymous,EN,Second year,No,2,3,1658,A little uncertain,6,About once a week,1,Yes,Female,Between 10 and 20 hours,daily,daily,daily,Never,4-6 times a week,daily,Never,Never,Never,Never,4-6 times a week,VSCO,20,No,2-3 times a week,Netflix and Chill
2/9/18 17:23,2/9/18 17:28,IP Address,128.138.65.107,100,302,TRUE,2/9/18 17:28,R_1JOzZC11718w52w,,,,,40.01499939,-105.2705994,anonymous,EN,First year,No,0,0,55.5km,Extremely uncertain,5-Apr,About once a week,2,No,Female,Between 5 and 10 hours,2-3 times a week,daily,4-6 times a week,daily,daily,daily,Never,Never,Never,Never,,,18,No,4-6 times a week,Travel
2/10/18 10:47,2/10/18 10:57,IP Address,71.237.104.150,100,597,TRUE,2/10/18 10:57,R_3htGEGlrqaQbajn,,,,,40.16749573,-105.0225983,anonymous,EN,Fourth year,Yes,0,7,1288.44,A little uncertain,2,About once a month,1,Yes,Male,Between 5 and 10 hours,daily,daily,Never,Never,2-3 times a week,daily,Never,Never,Never,Never,Never,,27,Yes,Daily,Drive too fast
2/11/18 11:03,2/11/18 11:07,IP Address,128.138.65.38,100,261,TRUE,2/11/18 11:07,R_1q3cCZ58xtDdL1W,,,,,40.01499939,-105.2705994,anonymous,EN,First year,No,3,3,30,A little uncertain,2.5,About once a week,1,Yes,Male,I don't have a job (other than school),2-3 times a week,Once a week,daily,Never,daily,Once a week,Never,Never,Never,Never,,N/A,19,No,4-6 times a week,fly fish
2/11/18 12:57,2/11/18 13:00,IP Address,128.138.65.182,100,173,TRUE,2/11/18 13:00,R_1Q5gDWGakBF3Xdb,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,No,0,0,"2,955",Moderately uncertain,3,About once a day,2,No,Female,Between 10 and 20 hours,daily,daily,4-6 times a week,daily,4-6 times a week,daily,Never,Once a week,Never,Never,Never,N/A,19,No,4-6 times a week,Play soccer and hang out with friends
2/11/18 13:34,2/11/18 13:37,IP Address,50.250.143.235,100,139,TRUE,2/11/18 13:37,R_p6o4Os3CIZyremJ,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,No,2,4,410,A little uncertain,2,About once a week,1,No,Female,Between 10 and 20 hours,daily,daily,daily,Never,2-3 times a week,daily,Never,Once a week,Never,Never,Never,,19,No,2-3 times a week,Listen to Music
2/11/18 14:35,2/11/18 14:39,IP Address,4.14.113.49,100,226,TRUE,2/11/18 14:39,R_2dp9iQA7VPeSRn7,,,,,39.96679688,-105.209198,anonymous,EN,Third year,No,0,1,84.2,Moderately uncertain,12,About once a day,1,No,Female,I don't have a job (other than school),4-6 times a week,daily,daily,daily,4-6 times a week,daily,Never,Never,Never,Never,Never,,20,No,Once a week,Spend time with my boyfriend
2/11/18 21:28,2/11/18 21:34,IP Address,128.138.65.42,100,319,TRUE,2/11/18 21:34,R_1l60ZZbnmUp5jke,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,No,0,0,25,A little uncertain,2,About once a week,1,No,Female,I don't have a job (other than school),4-6 times a week,Never,daily,Never,4-6 times a week,Never,Never,Never,Never,Never,Never,,19,No,2-3 times a week,"Do activities wit friends like game nights, exploring outside, etc, or just socialize in general"
2/11/18 22:02,2/11/18 22:04,IP Address,73.14.172.203,100,137,TRUE,2/11/18 22:04,R_e35Iterh0BSvROF,,,,,40.04960632,-105.2769012,anonymous,EN,Fourth year,No,1,3,200,A little uncertain,1,About once a day,2,Yes,Male,Between 20 and 40 hours,4-6 times a week,daily,4-6 times a week,,2-3 times a week,4-6 times a week,Never,Never,4-6 times a week,Never,Never,,21,No,Once a month,Play Outside
2/11/18 22:35,2/11/18 22:39,IP Address,24.9.50.108,100,211,TRUE,2/11/18 22:39,R_1JFOKWzGFuD4SiP,,,,,39.95579529,-105.1682968,anonymous,EN,Second year,No,0,1,40.23,Moderately uncertain,12,About once a day,2,No,Female,Between 20 and 40 hours,daily,daily,2-3 times a week,Once a week,2-3 times a week,daily,Once a week,Never,Never,Never,,,20,Yes,Once a week,Read
2/11/18 22:56,2/11/18 23:02,IP Address,73.229.199.200,100,397,TRUE,2/11/18 23:02,R_3qxnR8WnGkplaMU,,,,,39.97210693,-105.2492981,anonymous,EN,Second year,No,0,0,65,Very uncertain,7,About once a week,2,Yes,Male,Between 10 and 20 hours,Once a week,Never,Never,daily,daily,Never,Never,Never,4-6 times a week,2-3 times a week,Never,,20,No,Once a month,"Create things, like circuits and wood-carved items"
2/11/18 23:01,2/11/18 23:07,IP Address,76.120.77.55,100,348,TRUE,2/11/18 23:07,R_2SrwMNY2lPJskZ6,,,,,39.96679688,-105.209198,anonymous,EN,> fifth year,No,30,0,0,Extremely uncertain,4,About once a week,2,Yes,Female,Between 1 and 5 hours,daily,Once a week,daily,Never,daily,Once a week,Never,Once a week,Once a week,Never,daily,"Hulu, Netflix",23,Yes,Once a year,Play Zelda: Ocarina of Time
2/12/18 0:01,2/12/18 0:04,IP Address,73.153.162.245,100,201,TRUE,2/12/18 0:04,R_UyzNc91TTroCGqZ,,,,,40.05070496,-105.2036972,anonymous,EN,Second year,No,0,1,1400,Moderately uncertain,2,About once a day,1,No,Male,I don't have a job (other than school),Never,Never,daily,Never,Once a week,Never,Never,Never,Never,Never,Never,,20,No,Once a month,create art
2/12/18 8:33,2/12/18 8:35,IP Address,67.166.32.95,100,160,TRUE,2/12/18 8:35,R_1173PyJ0r70qDRo,,,,,40.05070496,-105.2036972,anonymous,EN,Second year,No,0,3,130,Moderately uncertain,2,About once a day,1,Yes,Male,I don't have a job (other than school),4-6 times a week,daily,daily,Never,2-3 times a week,daily,Never,Never,Never,Never,,,20,No,4-6 times a week,Snowboard
2/12/18 9:05,2/12/18 9:07,IP Address,128.138.65.188,100,155,TRUE,2/12/18 9:08,R_ub1WZgxG8bOXGMN,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,No,0.5,0.2,0,Moderately uncertain,2,About once a week,1,Yes,Male,Between 10 and 20 hours,Never,daily,daily,Never,4-6 times a week,daily,Never,Never,4-6 times a week,Never,Never,,20,No,4-6 times a week,Read
2/12/18 10:28,2/12/18 10:32,IP Address,128.138.65.165,100,230,TRUE,2/12/18 10:32,R_1hX1v7Ai6ozaZcZ,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,No,7,1,2038.07,Moderately uncertain,8,About once a day,1,No,Female,Between 10 and 20 hours,Never,daily,daily,daily,4-6 times a week,daily,Never,Never,Never,Never,2-3 times a week,Tumblr,19,No,Never,eat
2/12/18 12:04,2/12/18 12:13,IP Address,128.138.65.96,100,579,TRUE,2/12/18 12:13,R_20OjLJYlTJdgFYr,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,No,14,2,1643.14,Extremely uncertain,1,About once a week,1,Yes,Female,I don't have a job (other than school),Once a week,daily,2-3 times a week,Once a week,Once a week,daily,Never,Never,Never,Never,Never,,19,No,Never,Snowboard 
2/12/18 15:16,2/12/18 15:20,IP Address,73.95.137.97,100,208,TRUE,2/12/18 15:20,R_1Cdc3i5Hal5mt3y,,,,,39.86630249,-105.0061035,anonymous,EN,Fifth year,No,20,0,226,Very uncertain,5,About once a day,2,No,Female,Between 10 and 20 hours,2-3 times a week,Never,Never,Never,daily,Never,Never,Never,daily,Never,Never,,22,No,Never,Sing/write music
2/12/18 19:40,2/12/18 19:42,IP Address,71.56.217.238,100,136,TRUE,2/12/18 19:42,R_1DNhKVvHaTw8oqT,,,,,39.96679688,-105.209198,anonymous,EN,Third year,No,0,3,.112 km,Moderately uncertain,5,About once a day,1,No,Female,Between 10 and 20 hours,daily,daily,daily,daily,Once a week,daily,Never,Once a week,Once a week,Never,Never,n/a,21,No,Once a week,read
2/12/18 22:46,2/12/18 22:50,IP Address,71.56.217.198,100,213,TRUE,2/12/18 22:50,R_1gUX58s00PkvKt4,,,,,39.96679688,-105.209198,anonymous,EN,Third year,No,5,1.5,"1,978.80",Very uncertain,4,About once a week,2,Yes,Male,Between 1 and 5 hours,daily,daily,daily,Never,daily,daily,2-3 times a week,Never,Never,Never,Never,,21,No,Once a month,Be outside
2/12/18 22:56,2/12/18 23:03,IP Address,128.138.65.239,100,419,TRUE,2/12/18 23:03,R_qDRoqGxBGOdKich,,,,,40.01499939,-105.2705994,anonymous,EN,Third year,No,0,0,31,A little uncertain,4,More than once a day,2,No,Female,Between 5 and 10 hours,daily,daily,daily,Never,daily,daily,daily,Once a week,Never,Never,Never,n/a,20,No,Once a month,spend time with family
2/13/18 8:25,2/13/18 8:27,IP Address,71.56.238.34,100,162,TRUE,2/13/18 8:27,R_2wvIXhMobbKKCFa,,,,,40.04960632,-105.2769012,anonymous,EN,> fifth year,No,0,2,2700,A little uncertain,too many,About once a week,1,Yes,Male,Between 5 and 10 hours,daily,Never,daily,Never,2-3 times a week,Never,Never,Never,Never,Never,,,27,No,Never,Hiking
2/13/18 11:01,2/13/18 11:06,IP Address,128.138.65.114,100,275,TRUE,2/13/18 11:06,R_UuJUCo6ECLtmTbr,,,,,40.01499939,-105.2705994,anonymous,EN,Fourth year,No,5,1,5000,Moderately uncertain,2 maybe,About once a day,2,No,Female,,2-3 times a week,Once a week,Once a week,Never,Once a week,Once a week,2-3 times a week,Never,Never,Never,Never,,21,Yes,2-3 times a week,kick ass at school
2/13/18 12:55,2/13/18 13:00,IP Address,128.138.65.72,100,337,TRUE,2/13/18 13:00,R_3fIXTvxc3npVsLV,,,,,40.01499939,-105.2705994,anonymous,EN,Third year,No,2,0,120,Very uncertain,3+,About once a week,2,No,Male,I don't have a job (other than school),Never,daily,Never,Never,daily,daily,Never,Never,daily,Never,Never,,20,No,Never,Mountain bike 
